"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-10-11","11:15:00",5814.25,"32 Oct 11 5840 C STO 1.15 | 32 Oct 11 5840 P STO 26.75 | 32 Oct 11 5870 C BTO 0.10 | 32 Oct 11 5810 P BTO 7.45",2030,5815.03,"2024-10-11","16:00:00",2497,"Expired",-15104,-23.251231527093598,32,2084044,31040,"",160,3.7,253,-4.96,39.16,15.02,-31.03
"2024-10-09","11:15:00",5774.17,"32 Oct 9 5800 C STO 1.65 | 32 Oct 9 5800 P STO 27.40 | 32 Oct 9 5830 C BTO 0.15 | 32 Oct 9 5770 P BTO 8.25",2060,5792.04,"2024-10-09","16:00:00",796,"Expired",40288,61.116504854368934,32,2099148,30080,"",160,3.46,75,0.67,22.37,80.34,-0.24
"2024-10-08","11:15:00",5736.36,"27 Oct 8 5760 C STO 1.65 | 27 Oct 8 5760 P STO 25.20 | 27 Oct 8 5790 C BTO 0.15 | 27 Oct 8 5730 P BTO 7.60",1905,5751.13,"2024-10-08","16:00:00",887,"Expired",27351,53.1758530183727,27,2058860,29565,"",135,3.46,88,23.2,17.22,77.95,-22.57
"2024-09-13","11:15:00",5623.32,"34 Sep 13 5650 C STO 2.50 | 34 Sep 13 5650 P STO 28.90 | 34 Sep 13 5680 C BTO 0.30 | 34 Sep 13 5620 P BTO 10.00",2105,5626.02,"2024-09-13","16:00:00",2398,"Expired",-10132,-14.156769596199526,34,2031509,30430,"",170,3.05,253.5,7.58,19.98,27.32,-22.8
"2024-09-12","11:15:00",5571.51,"31 Sep 12 5595 C STO 4.45 | 31 Sep 12 5595 P STO 28.50 | 31 Sep 12 5625 C BTO 0.60 | 31 Sep 12 5565 P BTO 11.60",2070,5595.76,"2024-09-12","16:00:00",76,"Expired",61659,96.08695652173913,31,2041641,28830,"",155,2.7,17,3.35,14.03,96.33,-20.05
"2024-08-29","11:15:00",5639.06,"31 Aug 29 5665 C STO 1.65 | 31 Aug 29 5665 P STO 27.30 | 31 Aug 29 5695 C BTO 0.10 | 31 Aug 29 5635 P BTO 8.45",2035,5591.96,"2024-08-29","16:00:00",3000,"Expired",-30070,-47.665847665847664,31,1979982,29915,"",155,3.39,1.712,15.12,31.76,15.97,-55.04
"2024-08-27","11:15:00",5627.76,"34 Aug 27 5655 C STO 0.75 | 34 Aug 27 5655 P STO 27.80 | 34 Aug 27 5685 C BTO 0.10 | 34 Aug 27 5625 P BTO 7.30",2110,5625.8,"2024-08-27","16:00:00",2920,"Expired",-27710,-38.62559241706161,34,2010052,30260,"",170,3.86,82,-13.95,24.87,0.47,-38.39
"2024-08-23","11:15:00",5624.31,"32 Aug 23 5650 C STO 4.15 | 32 Aug 23 5650 P STO 28.70 | 32 Aug 23 5680 C BTO 0.50 | 32 Aug 23 5620 P BTO 11.70",2060,5634.61,"2024-08-23","16:00:00",1539,"Expired",16512,25.04854368932039,32,2037762,30080,"",160,2.69,166,31.85,21.82,28.64,-40.29
"2024-08-19","11:15:00",5575.91,"30 Aug 19 5600 C STO 0.75 | 30 Aug 19 5600 P STO 25.30 | 30 Aug 19 5630 C BTO 0.10 | 30 Aug 19 5570 P BTO 5.60",2030,5608.25,"2024-08-19","16:00:00",825,"Expired",36000,59.11330049261084,30,2021250,29100,"",150,4.57,73,2.98,18.68,82.27,-11.58
"2024-08-15","11:15:00",5528.69,"32 Aug 15 5555 C STO 0.80 | 32 Aug 15 5555 P STO 27.70 | 32 Aug 15 5585 C BTO 0.10 | 32 Aug 15 5525 P BTO 7.35",2100,5543.22,"2024-08-15","16:00:00",1178,"Expired",29344,43.666666666666664,32,1985250,28800,"",160,3.83,129.5,45.92,27.56,52.14,-3.81
