"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-20","14:30:00",6803.45,"1 Jan 20 6830 C STO 1.65 | 1 Jan 20 6875 C BTO 0.25",128,6796.86,"2026-01-20","16:00:00",0,"Expired",125.5,98.046875,1,102748.5,4372,"",2.5,0,6.6,1,-74.77,-61.79,100,-21.09
"2026-01-20","13:00:00",6834.24,"1 Jan 20 6870 C STO 1.85 | 1 Jan 20 6915 C BTO 0.20",153,6796.86,"2026-01-20","16:00:00",0,"Expired",150.5,98.36601307189542,1,102899,4347,"",2.5,0,9.25,1,-74.77,-31,100,-20.92
"2026-01-16","14:30:00",6944.75,"1 Jan 16 6955 C STO 1.35 | 1 Jan 16 7000 C BTO 0.05",118,6950.71,"2026-01-16","14:39:00",260,"Stop Loss",-147,-124.57627118644068,1,102432.5,4382,"",2.5,2.5,27,54,16.07,-15.79,0,-124.58
"2026-01-16","13:00:00",6942.85,"1 Jan 16 6960 C STO 1.50 | 1 Jan 16 7005 C BTO 0.10",128,6953.38,"2026-01-16","13:18:00",280,"Stop Loss",-157,-122.65625,1,102579.5,4372,"",2.5,2.5,15,30.5,16.07,-17.69,0,-138.28
"2026-01-15","14:45:00",6958.93,"1 Jan 15 6970 C STO 1.55 | 1 Jan 15 7015 C BTO 0.05",138,6944.47,"2026-01-15","16:00:00",0,"Expired",135.5,98.18840579710145,1,102571,4362,"",2.5,0,31,1,42.86,-10.53,100,-23.19
"2026-01-15","14:30:00",6960.88,"1 Jan 15 6970 C STO 1.85 | 1 Jan 15 7015 C BTO 0.05",168,6944.47,"2026-01-15","16:00:00",0,"Expired",165.5,98.51190476190477,1,102736.5,4332,"",2.5,0,37,1,42.86,-8.58,100,-10.12
"2026-01-15","13:00:00",6964.5,"1 Jan 15 6980 C STO 1.45 | 1 Jan 15 7025 C BTO 0.05",128,6974.62,"2026-01-15","13:32:00",280,"Stop Loss",-157,-122.65625,1,102435.5,4372,"",2.5,2.5,29,55,42.86,-4.96,0,-157.81
"2026-01-14","13:00:00",6890.6,"1 Jan 14 6915 C STO 1.60 | 1 Jan 14 6960 C BTO 0.15",133,6899.91,"2026-01-14","13:31:00",290,"Stop Loss",-162,-121.80451127819549,1,102592.5,4367,"",2.5,2.5,10.667,15.667,-26.33,-46.81,0,-118.05
"2026-01-13","14:30:00",6955.1,"1 Jan 13 6965 C STO 1.30 | 1 Jan 13 7010 C BTO 0.05",113,6963.74,"2026-01-13","16:00:00",0,"Expired",110.5,97.78761061946902,1,102574,4387,"",2.5,0,26,1,0.14,-22.31,100,-23.89
"2026-01-13","13:00:00",6954.24,"1 Jan 13 6970 C STO 2.05 | 1 Jan 13 7015 C BTO 0.10",183,6963.74,"2026-01-13","16:00:00",0,"Expired",180.5,98.63387978142076,1,102754.5,4317,"",2.5,0,20.5,1,0.14,-23.17,100,-33.88
"2026-01-08","14:45:00",6912.83,"1 Jan 8 6920 C STO 1.95 | 1 Jan 8 6965 C BTO 0.05",178,6920.47,"2026-01-08","15:28:00",385,"Stop Loss",-212,-119.10112359550563,1,102620.5,4322,"",2.5,2.5,39,72,-6.82,-1.28,15.73,-119.1
"2026-01-08","14:30:00",6915.15,"1 Jan 8 6925 C STO 1.45 | 1 Jan 8 6970 C BTO 0.05",128,6922.93,"2026-01-08","15:31:00",280,"Stop Loss",-157,-122.65625,1,102463.5,4372,"",2.5,2.5,29,52,-6.82,1.04,57.03,-130.47
"2026-01-07","14:45:00",6945.26,"1 Jan 7 6950 C STO 1.85 | 1 Jan 7 6995 C BTO 0.05",168,6920.93,"2026-01-07","16:00:00",0,"Expired",165.5,98.51190476190477,1,102536.5,4332,"",2.5,0,37,1,0.25,0.19,100,-4.17
"2026-01-07","14:30:00",6942.53,"1 Jan 7 6950 C STO 1.65 | 1 Jan 7 6995 C BTO 0.05",148,6920.93,"2026-01-07","16:00:00",0,"Expired",145.5,98.3108108108108,1,102682,4352,"",2.5,0,33,1,0.25,-2.54,100,-68.92
"2026-01-07","13:00:00",6955.96,"1 Jan 7 6965 C STO 1.70 | 1 Jan 7 7010 C BTO 0.05",153,6920.93,"2026-01-07","16:00:00",0,"Expired",150.5,98.36601307189542,1,102832.5,4347,"",2.5,0,34,1,0.25,10.89,100,-1.31
"2026-01-05","14:45:00",6902.79,"1 Jan 5 6910 C STO 1.25 | 1 Jan 5 6955 C BTO 0.05",108,6908.16,"2026-01-05","15:13:00",240,"Stop Loss",-137,-126.85185185185186,1,102005,4392,"",2.5,2.5,25,46,33.72,10.6,30.56,-126.85
"2026-01-05","14:30:00",6908.32,"1 Jan 5 6910 C STO 2.50 | 1 Jan 5 6955 C BTO 0.05",233,6902.05,"2026-01-05","16:00:00",0,"Expired",230.5,98.92703862660944,1,102235.5,4267,"",2.5,0,50,1,33.72,16.13,100,-18.03
"2026-01-05","13:00:00",6911.96,"1 Jan 5 6920 C STO 1.55 | 1 Jan 5 6965 C BTO 0.05",138,6902.05,"2026-01-05","16:00:00",0,"Expired",135.5,98.18840579710145,1,102371,4362,"",2.5,0,31,1,33.72,19.77,100,-26.81
"2026-01-02","13:00:00",6837.67,"1 Jan 2 6855 C STO 2.30 | 1 Jan 2 6900 C BTO 0.15",203,6849.56,"2026-01-02","14:14:00",440,"Stop Loss",-242,-119.21182266009853,1,102142,4297,"",2.5,2.5,15.333,27.333,32.61,-40.44,85.22,-133.99
"2025-12-31","14:45:00",6872.83,"1 Dec 31 6885 C STO 1.70 | 1 Dec 31 6930 C BTO 0.10",148,6845.5,"2025-12-31","16:00:00",0,"Expired",145.5,98.3108108108108,1,102248.5,4352,"",2.5,0,17,1,2.58,-25.99,100,-4.73
"2025-12-31","14:30:00",6877.91,"1 Dec 31 6890 C STO 1.60 | 1 Dec 31 6935 C BTO 0.10",138,6845.5,"2025-12-31","16:00:00",0,"Expired",135.5,98.18840579710145,1,102384,4362,"",2.5,0,16,1,2.58,-20.91,100,-5.07
"2025-12-31","13:00:00",6875.22,"1 Dec 31 6890 C STO 1.90 | 1 Dec 31 6935 C BTO 0.15",163,6883.72,"2025-12-31","13:41:00",355,"Stop Loss",-197,-120.85889570552146,1,102103,4337,"",2.5,2.5,12.667,16.75,2.58,-23.6,7.98,-117.79
"2025-12-18","14:45:00",6772.16,"1 Dec 18 6790 C STO 1.60 | 1 Dec 18 6835 C BTO 0.05",143,6780.08,"2025-12-18","14:51:00",315,"Stop Loss",-177,-123.77622377622377,1,102099.5,4357,"",2.5,2.5,32,61,56.63,-5.9,0,-123.78
"2025-12-18","14:30:00",6780.31,"1 Dec 18 6795 C STO 2.25 | 1 Dec 18 6840 C BTO 0.10",203,6774.76,"2025-12-18","16:00:00",0,"Expired",200.5,98.76847290640394,1,102300,4297,"",2.5,0,22.5,1,56.63,2.25,100,-67.49
"2025-12-17","14:45:00",6735.83,"1 Dec 17 6750 C STO 1.80 | 1 Dec 17 6795 C BTO 0.10",158,6721.43,"2025-12-17","16:00:00",0,"Expired",155.5,98.41772151898735,1,101960.5,4342,"",2.5,0,18,1,2.62,-67.05,100,-39.24
"2025-12-17","14:30:00",6733.36,"1 Dec 17 6750 C STO 2.15 | 1 Dec 17 6795 C BTO 0.15",188,6721.43,"2025-12-17","16:00:00",0,"Expired",185.5,98.67021276595744,1,102146,4312,"",2.5,0,14.333,1,2.62,-69.52,100,-25
"2025-12-17","13:00:00",6746.61,"1 Dec 17 6785 C STO 1.70 | 1 Dec 17 6830 C BTO 0.25",133,6721.43,"2025-12-17","16:00:00",0,"Expired",130.5,98.1203007518797,1,102276.5,4367,"",2.5,0,6.8,1,2.62,-56.27,100,-46.62
"2025-12-16","14:30:00",6779.47,"1 Dec 16 6795 C STO 1.50 | 1 Dec 16 6840 C BTO 0.10",128,6787.41,"2025-12-16","14:36:00",280,"Stop Loss",-157,-122.65625,1,101805,4372,"",2.5,2.5,15,37,-16.39,-20.65,0,-200.78
"2025-12-16","13:00:00",6765.44,"1 Dec 16 6795 C STO 2.10 | 1 Dec 16 6840 C BTO 0.15",183,6783.41,"2025-12-16","13:43:00",395,"Stop Loss",-217,-118.5792349726776,1,101962,4317,"",2.5,2.5,14,23.333,-16.39,-34.68,39.89,-126.78
"2025-12-15","14:45:00",6815.12,"1 Dec 15 6825 C STO 1.60 | 1 Dec 15 6870 C BTO 0.05",143,6821.28,"2025-12-15","14:56:00",315,"Stop Loss",-177,-123.77622377622377,1,102008.5,4357,"",2.5,2.5,32,64,32.78,-45.07,9.09,-137.76
"2025-12-15","13:00:00",6814.25,"1 Dec 15 6835 C STO 1.95 | 1 Dec 15 6880 C BTO 0.10",173,6816.51,"2025-12-15","16:00:00",0,"Expired",170.5,98.55491329479769,1,102179,4327,"",2.5,0,19.5,1,32.78,-45.94,100,-24.28
"2025-12-12","14:45:00",6828.35,"1 Dec 12 6840 C STO 2.35 | 1 Dec 12 6885 C BTO 0.10",213,6827.41,"2025-12-12","16:00:00",0,"Expired",210.5,98.82629107981221,1,102055,4287,"",2.5,0,23.5,1,-14.15,-58.5,100,-29.11
"2025-12-12","14:30:00",6824.85,"1 Dec 12 6845 C STO 1.55 | 1 Dec 12 6890 C BTO 0.10",133,6827.41,"2025-12-12","16:00:00",0,"Expired",130.5,98.1203007518797,1,102185.5,4367,"",2.5,0,15.5,1,-14.15,-62,100,-50.38
"2025-12-09","14:45:00",6844.92,"1 Dec 9 6850 C STO 2.15 | 1 Dec 9 6895 C BTO 0.05",198,6840.51,"2025-12-09","16:00:00",0,"Expired",195.5,98.73737373737373,1,101558.5,4302,"",2.5,0,43,1,-5.9,4.31,100,-56.57
"2025-12-09","14:30:00",6848.64,"1 Dec 9 6855 C STO 1.55 | 1 Dec 9 6900 C BTO 0.05",138,6840.51,"2025-12-09","16:00:00",0,"Expired",135.5,98.18840579710145,1,101694,4362,"",2.5,0,31,1,-5.9,8.03,100,-1.45
"2025-12-09","13:00:00",6854.14,"1 Dec 9 6865 C STO 1.75 | 1 Dec 9 6910 C BTO 0.10",153,6840.51,"2025-12-09","16:00:00",0,"Expired",150.5,98.36601307189542,1,101844.5,4347,"",2.5,0,17.5,1,-5.9,13.53,100,-14.38
"2025-12-08","14:30:00",6834.02,"1 Dec 8 6845 C STO 1.55 | 1 Dec 8 6890 C BTO 0.10",133,6846.51,"2025-12-08","16:00:00",151,"Expired",-20.5,-15.413533834586465,1,101363,4367,"",2.5,0,15.5,40,4.8,-41.18,96.24,-61.65
